,Name,Hometown,High School,Year,sport
0,Alyssa Adrian,"Cary, N.C. ",,2010,womens-gymnastics
1,Kelsey Ainsworth,"Broken Arrow, Okla. ",,2010,womens-gymnastics
2,Meaghan Biros,"Chicago, Ill. ", Mother McAuley,2010,womens-gymnastics
3,Mallory Brewer,"Grand Rapids, Mich. ", Grand Rapids Catholic Central,2010,womens-gymnastics
4,Dani Bryan,"Germantown, Md. ", Northwest,2010,womens-gymnastics
5,Jessica Byich,"Nicktown, Pa. ", Bishop Carroll,2010,womens-gymnastics
6,Mallory Credito,"Jonestown, Pa. ", Lebanon Catholic,2010,womens-gymnastics
7,Jen Liberato,"Malvern, PA ", Great Valley,2010,womens-gymnastics
8,Shannon McConnell,"Allison Park, Pa. ", North Allegheny,2010,womens-gymnastics
9,Molly Moyer,"Telford, Pa. ", Buxmont Christian,2010,womens-gymnastics
10,Laura Rigney,"Greenwood, Ind. ", Greenwood,2010,womens-gymnastics
11,Krista Rubini,"Newtown, Pa. ", Council Rock North,2010,womens-gymnastics
12,Lisa Taylor,"Odessa, Fla. ",,2010,womens-gymnastics
13,Sarah Thompson,"Shokan, N.Y. ", Onteora,2010,womens-gymnastics
14,Amy Varela,"Derwood, Md. ",,2010,womens-gymnastics
15,Alicia Talucci,"Coatesville, Pa. ",,2010,womens-gymnastics
16,Shannon Vafiadou,"Mahwah, N.J. ", Mahwah,2010,womens-gymnastics
2,Haley Bodenheimer,Winston ," Salem, N.C.",2011,womens-gymnastics
3,Brittney Harris,"Easton, Pa. ",,2011,womens-gymnastics
4,Brianna Hogan,"Hudsonville, Mich. ", Hudsonville (Geddert's Twistars,2011,womens-gymnastics
5,Maya Ketner,"Okemos, Mich. ",,2011,womens-gymnastics
6,Kori Macdonald,"Colonie, N.Y. ",,2011,womens-gymnastics
7,Brittany Marcsisin,"Hillsborough, N.J. ",,2011,womens-gymnastics
8,Katie O'Rourke,"Springfield, Va. ",,2011,womens-gymnastics
9,Haley Sedgewick,"Lennon, Mich. ",,2011,womens-gymnastics
4,Bri Hogan,"Hudsonville, Mich. ",,2012,womens-gymnastics
9,Alexa Riech,"Woodbury, N.Y. ",,2012,womens-gymnastics
2,Tiara Chadran,"Wexford, Pa. ",,2013,womens-gymnastics
6,Laura Kummerle,"Raleigh, N.C. ",,2013,womens-gymnastics
9,Lindsay Offutt,"White Lake, Mich. ",,2013,womens-gymnastics
10,Maebelle Pacheco,"Virginia Beach, Va. ",,2013,womens-gymnastics
11,Nicole Pearson,"Hatboro, Pa. ",,2013,womens-gymnastics
12,Ellie Pikula,"Port Vu, Pa. ", South Allegheny,2013,womens-gymnastics
15,Lisa Soto,"Indian Trail, N.C. ",,2013,womens-gymnastics
16,Jacqueline Lucci,"Ambler, Pa. ",,2013,womens-gymnastics
1,Kelly Burak,"Aliquippa, Pa. ", Hopewell,2014,womens-gymnastics
11,Tracey Pearson,"Baltimore, Md. ", Eastern Technical,2014,womens-gymnastics
13,Erika Reichert,"Windermere, Fla. ", West Orange,2014,womens-gymnastics
3,Miya Dotson,"Northville, Mich. ",,2015,womens-gymnastics
4,Dani Hall,"Germantown, Md. ", Clarksburg,2015,womens-gymnastics
