,Name,Hometown,High School,Year,sport
0,Cohl Mercado,"Ocean View, N.J. ", St. Joseph Academy,2024,baseball
1,Adam Magpoc,"Torrance, CA ", Loyola High School of LA,2024,baseball
2,Nathanael Frederking,"London, Ontario ", Catholic Central High School,2024,baseball
3,Cam Caraher,"Plymouth, Mass. ", Plymouth North,2024,baseball
4,Chris Markovich,"Lebanon, N.J. ", Immaculata,2024,baseball
5,Patrick Roche,"Milton, Mass. ", Boston College High,2024,baseball
6,Aidan Harrington,"Millis, Mass. ", St. Sebastian's,2024,baseball
7,Brad Lombardi,"East Greenwich, R.I. ", Bishop Hendricken,2024,baseball
8,Cameron Leary,"Bethpage, N.Y. ", P27 Academy,2024,baseball
9,Owen DeShazo,"Glen Allen, Va. ", Hanover,2024,baseball
10,Vince Cimini,"Scranton, Pa. ", Scranton Prep,2024,baseball
11,Aidan Crowley,"Shoreham, N.Y. ", Shoreham Wading-River,2024,baseball
12,Connor Dreyer,"Chatham, N.J. ", Delbarton,2024,baseball
13,Matthew Nunan,"Egg Harbor, N.J. ", Egg Harbor,2024,baseball
14,Kyle Wolff,"Andover, Mass. ", Middlesex School,2024,baseball
15,Brian McMonagle,"Moorestown, N.J. ", Moorestown,2024,baseball
16,Barry Walsh,"Sterling, Mass. ", Wachusett,2024,baseball
17,Tyler Mudd,"Shrewsbury, Mass. ", Deerfield Academy,2024,baseball
18,Charlie Coon,"Duxbury, Mass. ", Duxbury,2024,baseball
19,Parker Landwehr,"Baltimore, Md. ", Calvert Hall,2024,baseball
20,Gio Arzuaga,"New Bedford, Mass. ", Tabor Academy,2024,baseball
21,Austin Hartsell,"Bridgewater, Mass. ", Dexter Southfield,2024,baseball
22,Ryan DiMaggio,"Hamilton, N.J. ", The Hun School,2024,baseball
23,Sam McNulty,"Cambridge, Mass. ", Milton Academy,2024,baseball
24,John Collins,"New York, N.Y. ", The Collegiate School for Boys,2024,baseball
25,Gavin Hasche,,,2024,baseball
26,Sean Hard,"Mahwah, N.J. ", St. Joseph's Regional,2024,baseball
27,Eric Schroeder,"Ridgewood, N.J. ", Delbarton,2024,baseball
28,John West,"Shrewsbury, Mass. ", Shrewsbury High School,2024,baseball
29,Joe Gold,"Ballston Spa, N.Y. ", Christian Brothers Academy,2024,baseball
30,Evan Moore,"Rocky Hill, Conn. ", Kingswood-Oxford,2024,baseball
31,James Hackett,"Glenview, Ill. ", Glenbrook South,2024,baseball
32,Jordan Fisse,"Ridgewood, N.J. ", Ridgewood High School,2024,baseball
33,Beck Milner,"Park City, Ut. ", Taft School,2024,baseball
34,Tony Humphrey,,,2024,baseball
35,Bobby Chicoine,"Armonk, N.Y. ", Byram Hills,2024,baseball
36,Nick Wang,"Newton, Mass. ", Phillips Exeter,2024,baseball
37,Travis Lane,"Georgetown, Mass. ", Phillips Academy,2024,baseball
38,Kyle Kipp,"Stamford, Conn. ", Westhill High School,2024,baseball
39,Nate McHugh,"Franktown, Co. ", Regis Jesuit,2024,baseball
40,A.J. Colarusso,"Leominster, Mass. ", Groton School,2024,baseball
41,Michael Farinelli,"New York, N.Y. ", Horace Mann School,2024,baseball
42,Joey Ryan,"Norwood, Mass. ", Roxbury Latin,2024,baseball
43,Esteban Garcia,"Queens, N.Y. ", Poly Prep Country Day,2024,baseball
44,Connor Bertsch,"West Roxbury, Mass. ", St. Sebastian's School,2024,baseball
45,Stephen McLendon,"Nashua, N.H. ", Bishop Guertin High School,2024,baseball
1,Travis Honeyman,"Massapequa, N.Y. ", Massapequa,2023,baseball
2,Lucas Stalman,"Bedford Hills, N.Y. ", The King School,2023,baseball
14,Peter Burns,"Reading, Mass. ", Austin Prep,2023,baseball
17,Daniel Baruch,"Cranston, R.I. ", Wheeler,2023,baseball
22,Luke Delongchamp,"Holden, Mass. ", St. Peter Marian Central,2023,baseball
23,Jason Hernandez,"Bridgeport, Conn. ", Greens Farms Academy,2023,baseball
25,Jon Campbell Jr.,"Bloomfield Hills, Mich. ", Detroit Country Day Upper,2023,baseball
26,Joe Vetrano,"Shrub Oak, N.Y. ", Lakeland,2023,baseball
27,Chris Flynn,"Naugatuck, Conn. ", Holy Cross,2023,baseball
29,Henry Leake,"Burbank, Calif. ", Burbank,2023,baseball
33,Andrew Roman,"Monson, Mass. ", Pathfinder,2023,baseball
39,Julian Tonghini,"New Canaan, Conn. ", Salisbury School,2023,baseball
41,Ian Murphy,"Swedesboro, N.J. ", Gloucester Catholic,2023,baseball
42,Adonys Guzman,"Valley Cottage, N.Y. ", Brunswick School,2023,baseball
0,Luke Gold,"Ballston, N.Y. ", Ballston Spa,2022,baseball
9,Ramon Jimenez,"Chicopee, Mass. ", Chicopee,2022,baseball
11,Ryan Smith,Tarrytown. N.Y. , Trinity Pawling,2022,baseball
21,Mason Pelio,"San Diego, Calif. ", Rancho Bernardo,2022,baseball
25,Max Gieg,"Lynn, Mass. ", St. John's Prep,2022,baseball
29,Liam Little,"Lafayette, Calif. ", De La Salle,2022,baseball
31,Liam Dvorak,"Bayport, N.Y. ", Chaminade,2022,baseball
32,Brendan Coffey,"Saratoga Springs, N.Y. ", Saratoga Springs,2022,baseball
33,Rafe Chaumette,"Sugar Land, Texas ", Clements,2022,baseball
34,Joe Mancini,"Fairfield, Conn. ", Fairfield Prep,2022,baseball
36,Zach Pitzl,"Overland Park, Kan. ", Rockhurst,2022,baseball
3,Brian Dempsey,"Potomac, Md. ", Georgetown Prep,2021,baseball
4,Cody Morissette,"Exeter, N.H. ", Exeter,2021,baseball
6,Jack Cunningham,"South Riding, Va. ", Paul VI Catholic,2021,baseball
7,Nick Couhig,"Falmouth, Mass. ", Falmouth,2021,baseball
8,Sal Frelick,"Lexington, Mass. ", Lexington,2021,baseball
11,Emmet Sheehan,"Darien, Conn. ", Salisbury School,2021,baseball
13,Chris Galland,"Sudbury, Mass. ", Cheshire Academy,2021,baseball
19,Jake Krzemienski,"Commack, N.Y. ", Commack,2021,baseball
20,Will Hesslink,"Shelburne, Vt. ", Avon Old Farms,2021,baseball
21,Dante Baldelli,"Cumberland, R.I. ", Bishop Hendricken,2021,baseball
23,Brendan Roney,"Cudjoe Key, Fla. ", Key West,2021,baseball
28,Samrath Singh,"West Windsor, N.J. ", West Windsor-Plainsboro South,2021,baseball
31,Michael Marzonie,"Greenwich, Conn. ", Brunswick School,2021,baseball
32,Corbin Lanowitz,"Kernersville, N.C. ", Walkertown,2021,baseball
