,name,Position,Academic Year,Height,Weight,Hometown,High School,Year,sport,Sport
0,Giovanny Alfonzo, Infield, Fr., 5' 11'' ,175 lbs ," Port St. Lucie, FL", Lincoln Park Academy,2011,baseball,
1,Josh Delph, Outifled, Fr., 6' 0'' ,190 lbs ," Bartow, FL", Bartow HS,2011,baseball,
2,Bert Givens, Outfield, Fr., 6' 1'' ,195 lbs ," Tallahassee, FL", Chiles HS,2011,baseball,
3,Sean O’Brien, Outfield, So., 6' 2'' ,195 lbs ," Clearwater, FL", Clearwater HS,2011,baseball,
4,Luke Weaver, Right Handed Pitcher, Fr., 6' 2'' ,170 lbs ," DeLand, FL", DeLand HS,2011,baseball,
5,Devon Travis, Infield, Jr., 5' 9'' ,180 lbs ," Wellington, FL", Palm Beach Central HS,2011,baseball,
6,Stephen Mcgee, Catcher, R-So., 6' 3'' ,230 lbs ," Port St. Lucie, FL", Port St. Lucie HS,2011,baseball,
7,Justin Gonzalez, Short Stop, Jr., 6' 3'' ,205 lbs ," Miami, FL", Columbus HS,2011,baseball,
8,Cody Alling, Left-Handed Pitcher, Fr., 5' 11'' ,160 lbs ," Pensacola, FL", Pensacola Catholic,2011,baseball,
9,John Holland, Infield, Fr., 5' 11'' ,175 lbs ," Johns Creek, GA", Northview HS,2011,baseball,
10,Kyle Bird, Left-Handed Pitcher, Fr., 6' 2'' ,195 lbs ," Orange Park, FL", Clay HS,2011,baseball,
11,Evan Geist, Left-Handed Pitcher, R-So., 6' 3'' ,195 lbs ," Roswell, GA", Marist HS,2011,baseball,
12,Jayce Boyd, Infield, Jr., 6' 3'' ,200 lbs ," Cantonment, FL", Tate HS,2011,baseball,
13,Seth Miller, Outfield, Jr., 6' 2'' ,200 lbs ," Southport, FL", Mosley High,2011,baseball,
14,Gage Smith, Right Handed Pitcher, R-So., 6' 2'' ,190 lbs ," Tallahassee, FL", North Florida Christian,2011,baseball,
15,Stephen Spradling, Outfield, Jr., 6' 0'' ,205 lbs ," Boynton Beach, FL", American Heritage,2011,baseball,
16,Robert Benincasa, Right-Handed Pitcher, Jr., 6' 2'' ,195 lbs ," Tampa, FL", Armwood HS,2011,baseball,
