,Name,Hometown,High School,Year,sport
0,Mason Blake,"Philadephia, Pa.",Chestnut Hill Academy,2017,msquash
1,Andrew Braff,"Locust Valley, N.Y.",St. George's,2017,msquash
2,William Braff,"Locust Valley, N.Y.",St. George's,2017,msquash
3,David Brenman,"Philadelphia, Pa.",Springside Chestnut Hill,2017,msquash
4,Grayson Bubrosky,"New Canaan, Conn.",New Canaan,2017,msquash
5,Killian Bubrosky,"New Canaan, Conn.",New Canaan,2017,msquash
6,Chris Dalglish,"Fort Washington, Pa.",Springside Chesnut Hill,2017,msquash
7,James Dudzik,"Greenwich, Conn.",Brunswick,2017,msquash
8,Toby Hansford,"Darien, Conn.",Darien,2017,msquash
9,Harrison Kapp,"Philadelphia, Pa.",Chestnut Hill Academy,2017,msquash
10,Matthew Katz,"Baltimore, Md.",Gilman,2017,msquash
11,Christian Kohlmeyer,"Lake Forest, Ill.",The Hotchkiss,2017,msquash
12,Max Novick,"Andover, Mass.",Middlesex,2017,msquash
13,Jarett Odrich,"Greenwich, Conn.",Brunswick,2017,msquash
14,Henry Woodworth,"Weston, Mass.",Weston,2017,msquash
0,Andrew Braff,"Locust Valley, N.Y.",St. George's,2018,msquash
1,William Braff,"Locust Valley, N.Y.",St. George's,2018,msquash
2,David Brenman,"Philadelphia, Pa.",Springside Chestnut Hill,2018,msquash
3,Grayson Bubrosky,"New Canaan, Conn.",New Canaan,2018,msquash
4,Killian Bubrosky,"New Canaan, Conn.",New Canaan,2018,msquash
5,James Dudzik,"Greenwich, Conn.",Brunswick,2018,msquash
6,Toby Hansford,"Darien, Conn.",Darien,2018,msquash
7,Will Holey,"Greenwich, Conn.",Brunswick,2018,msquash
8,Harrison Kapp,"Philadelphia, Pa.",Chestnut Hill Academy,2018,msquash
9,Matthew Katz,"Baltimore, Md.",Gilman,2018,msquash
10,Christian Kohlmeyer,"Lake Forest, Ill.",The Hotchkiss,2018,msquash
