,Name,Hometown,High School,Year,sport
0,Mason Blake,"Philadephia, Pa.",Chestnut Hill Academy,2017,msquash
1,Andrew Braff,"Locust Valley, N.Y.",St. George's,2017,msquash
2,William Braff,"Locust Valley, N.Y.",St. George's,2017,msquash
3,David Brenman,"Philadelphia, Pa.",Springside Chestnut Hill,2017,msquash
4,Grayson Bubrosky,"New Canaan, Conn.",New Canaan,2017,msquash
5,Killian Bubrosky,"New Canaan, Conn.",New Canaan,2017,msquash
6,Chris Dalglish,"Fort Washington, Pa.",Springside Chesnut Hill,2017,msquash
7,James Dudzik,"Greenwich, Conn.",Brunswick,2017,msquash
8,Toby Hansford,"Darien, Conn.",Darien,2017,msquash
9,Harrison Kapp,"Philadelphia, Pa.",Chestnut Hill Academy,2017,msquash
10,Matthew Katz,"Baltimore, Md.",Gilman,2017,msquash
11,Christian Kohlmeyer,"Lake Forest, Ill.",The Hotchkiss,2017,msquash
12,Max Novick,"Andover, Mass.",Middlesex,2017,msquash
13,Jarett Odrich,"Greenwich, Conn.",Brunswick,2017,msquash
14,Henry Woodworth,"Weston, Mass.",Weston,2017,msquash
22,Will Holey,"Greenwich, Conn.",Brunswick,2018,msquash
26,Patrick McElroy,"Brookline, Mass.",Noble and Greenough,2018,msquash
29,Glenn Yates,"Cape Town, South Africa",Bishops Diocesan,2018,msquash
32,Teddy Durfee,"Bedford, N.Y.",Deerfield Academy,2019,msquash
33,Omar El Torkey,"New Cairo, Egypt",Green Heights International School,2019,msquash
36,Aly Hussein,"Cairo, Egypt",Tabor Academy,2019,msquash
40,Cullen Little,"Baltimore, Md.",McDonogh,2019,msquash
41,Tyler Mackesy,"Bronxville, N.Y.",Hotchkiss School,2019,msquash
42,Peter Miller,"Bryn Mawr, Pa.",The Haverford School,2019,msquash
44,Drew Barr,"Bloomfield Hills, Mich.",Detroit Country Day,2020,msquash
47,Taha Dinana,"Cairo, Egypt",The Masters School (Conn.),2020,msquash
