,Name,Hometown,High School,Year,sport
0,Tony Chennault," Philadelphia, Pa.", Neumann-Goretti HS,2011,mens-basketball
1,Anthony Fields," Detroit, Mich.", Quality Education Academy (NC),2011,mens-basketball
2,Daniel Green," Colleyville, Texas", Grapevine HS,2011,mens-basketball
3,Chase Fischer," Ripley, W.Va.", Ripley HS,2011,mens-basketball
4,C.J. Harris, Winston, Mount Tabor HS,2011,mens-basketball
5,Nikita Mescheriakov," Minsk, Belarus", Georgetown University,2011,mens-basketball
6,Travis McKie," Richmond, Va.", John Marshall HS,2011,mens-basketball
7,Carson Desrosiers," Windham, N.H.", Central Catholic HS (MA),2011,mens-basketball
8,Ty Walker," Wilmington, N.C.", New Hanover HS,2011,mens-basketball
9,Brooks Godwin, Winston, Mount Tabor HS,2011,mens-basketball
10,Spencer Jennings," Midland, Mich.", Albion College,2011,mens-basketball
11,Aaron Ingle," Weaverville, N.C.", Christ School,2011,mens-basketball
12,Ryan Keenan," Bellaire, Texas", Westbury Christian School,2011,mens-basketball
13,Doug Niedrich," Kildeer, Ill.", Adlai E. Stevenson HS,2011,mens-basketball
14,Codi Miller-McIntyre," Concord, N.C.", Hargrave Military Academy,2012,mens-basketball
15,Madison Jones," Raleigh, N.C.", Ravenscroft School,2012,mens-basketball
16,Devin Thomas," Harrisburg, Pa.", Central Dauphin HS,2012,mens-basketball
21,Andre Washington," Rocky Mount, Va.", Hargrave Military Academy,2012,mens-basketball
22,Aaron Rountree III," Wilson, N.C.", Greenfield School,2012,mens-basketball
23,Tyler Cavanaugh," Dewitt, N.Y.", Jamesville-Dewitt HS,2012,mens-basketball
24,Will Murphy," Murfreesboro, Tenn.", Webb School,2012,mens-basketball
25,Duke Antonelli," Mechanicsburg, Pa.", Red Land HS,2012,mens-basketball
27,Arnaud Moto," Yaounde, Cameroon", Episcopal (Va.) HS,2012,mens-basketball
28,Grant O'Brien," North Andover, Mass.", The Governor's Academy,2012,mens-basketball
34,Greg McClinton, Winston, Hargrave Military Academy,2013,mens-basketball
35,Coron Williams," Midlothian, Va.", Robert Morris University,2013,mens-basketball
36,Miles Overton," Philadephia, Pa.", St. Joseph's Prep,2013,mens-basketball
41,Stephen Prendergast," Mahwah, N.J.", Don Bosco Prep,2013,mens-basketball
43,Trent VanHorn," Fort Wayne, Ind.", Canterbury School,2013,mens-basketball
51,Mitchell Wilbekin," Gainesville, Fla.", The Rock School,2014,mens-basketball
53,Darius Leonard," Raleigh, N.C.", Kestrel Heights HS,2014,mens-basketball
54,Rondale Watson," Lewisburg, W.Va.", Greenbrier East HS,2014,mens-basketball
55,Cornelius Hudson," Dallas, Texas", Mansfield Timberview HS,2014,mens-basketball
59,Gilbert McGregor," New Orleans, La.", Lusher Charter School,2014,mens-basketball
61,Konstantinos Mitoglou," Thessaloniki, Greece", Aristoteleio College of Thessaloniki,2014,mens-basketball
62,Troy Rike," San Francisco, Calif.", St. Ignatius College Prep,2014,mens-basketball
67,Doral Moore," Locust Grove, Ga.", Montverde Academy (Fla.),2015,mens-basketball
70,Bryant Crawford," Silver Spring, Md.",,2015,mens-basketball
71,John Collins," West Palm Beach, Fla.", Cardinal Newman HS,2015,mens-basketball
73,Keyshawn Woods," Gastonia, N.C.", Northside Christian Academy,2015,mens-basketball
76,Anthony Bilas," Charlotte, N.C.", Charlotte Latin School,2015,mens-basketball
82,Britton Anderson," Great Falls, Va.", Flint Hill School,2015,mens-basketball
83,Brandon Childress," Winston-Salem, N.C.", Wesleyan Christian Academy,2016,mens-basketball
85,Donovan Mitchell," Clovis, Calif.", Buchanan,2016,mens-basketball
91,Sam Japhet-Mathias," London, England", City of London Academy,2016,mens-basketball
92,Rich Washington," Williamsburg, Va.", Walsingham Academy,2016,mens-basketball
93,Austin Arians," Stoughton, Wis.", Madison Edgewood,2016,mens-basketball
95,Aaron Spivey," Rocky Mount, N.C.", Nash Central,2016,mens-basketball
97,Dinos Mitoglou," Thessaloniki, Greece", Aristoteleio College of Thessaloniki,2016,mens-basketball
105,Melo Eggleston," Suitland, Md.", Notre Dame Prep,2017,mens-basketball
107,Terrence Thompson," Durham, N.C.", Riverside,2017,mens-basketball
108,Chaundee Brown," Orlando, Fla.", First Academy,2017,mens-basketball
109,Olivier Sarr," Toulouse, France", INSEP,2017,mens-basketball
111,Sunday Okeke," Lagos, Nigeria", Greens Farms Academy,2017,mens-basketball
117,Isaiah Mucius," East Patchogue, N.Y.", Brewster Academy,2018,mens-basketball
118,Sharone Wright Jr.," Florence, S.C.", Legacy Early College H.S.,2018,mens-basketball
119,Torry Johnson," Chicago, Ill.", Morgan Park,2018,mens-basketball
120,Jaylen Hoard," Carnon, France", Wesleyan Christian Academy,2018,mens-basketball
121,Andrien White," Richmond, Va.", Quality Education Academy,2018,mens-basketball
122,Michael Wynn," Albany, N.Y.", Liberty Heights Athletic Institute,2018,mens-basketball
125,Blake Buchanan," Durham, N.C.", Voyager Academy,2018,mens-basketball
